Date,Name,Year,Letterboxd URI,Rating
2022-12-23,Pain and Glory,2019,https://boxd.it/iOBQ,4
2022-12-23,Bullet Train,2022,https://boxd.it/qW26,3
2022-12-24,Magnolia,1999,https://boxd.it/2aze,5
2022-12-24,Requiem for a Dream,2000,https://boxd.it/29VI,4
2022-12-29,Adaptation.,2002,https://boxd.it/26mA,4
2022-12-30,The Lobster,2015,https://boxd.it/7tnw,4
2022-12-30,Twelve Monkeys,1995,https://boxd.it/2beQ,2
2022-12-30,Punch-Drunk Love,2002,https://boxd.it/20E4,4
2022-12-30,The Departed,2006,https://boxd.it/28MA,4
2022-12-30,The Life Aquatic with Steve Zissou,2004,https://boxd.it/2aqw,4
2022-12-30,Before Midnight,2013,https://boxd.it/4ive,3
2022-12-30,The French Dispatch,2021,https://boxd.it/jLP8,3
2022-12-30,Blade Runner,1982,https://boxd.it/2bcA,4
2022-12-31,Glass Onion,2022,https://boxd.it/oCkK,2
2023-01-01,Miller's Crossing,1990,https://boxd.it/2avG,2
2023-01-01,The Da Vinci Code,2006,https://boxd.it/2a3i,2
2023-01-02,Blood Simple,1984,https://boxd.it/1U16,3
2023-01-02,Shutter Island,2010,https://boxd.it/1U82,3
2023-01-02,The Tree of Life,2011,https://boxd.it/1Zu8,3
2023-01-02,Along Came a Spider,2001,https://boxd.it/27yW,3
2023-01-02,Ocean's Eleven,2001,https://boxd.it/2aZm,3
2023-01-02,Ocean's Twelve,2004,https://boxd.it/2aZ2,2
2023-01-02,The Virgin Suicides,1999,https://boxd.it/28JG,4
2023-01-02,City Hall,1996,https://boxd.it/1UJs,2
2023-01-03,Children of Men,2006,https://boxd.it/1Y2i,4
2023-01-03,Enemy,2013,https://boxd.it/5xtO,3
2023-01-04,Zodiac,2007,https://boxd.it/27MO,4
2023-01-05,Now You See Me 2,2016,https://boxd.it/99fw,2
2023-01-05,All That Jazz,1979,https://boxd.it/1JB8,4
2023-01-07,Solaris,1972,https://boxd.it/2a2Y,2
2023-01-09,The Menu,2022,https://boxd.it/lScm,3
2023-01-09,Hereditary,2018,https://boxd.it/hNVe,3
2023-01-11,All About Lily Chou-Chou,2001,https://boxd.it/1JP0,5
2023-01-11,Triangle of Sadness,2022,https://boxd.it/hXlq,3
2023-01-12,Ocean's Thirteen,2007,https://boxd.it/2aEy,4
2023-01-14,The Square,2017,https://boxd.it/e5YW,2
2023-01-20,Predator,1987,https://boxd.it/2b84,4
2023-01-21,The Whole Nine Yards,2000,https://boxd.it/27vS,2
2023-01-22,Halloween,1978,https://boxd.it/2wRu,3
2023-01-22,Dallas Buyers Club,2013,https://boxd.it/4O8G,3
2023-01-24,Minority Report,2002,https://boxd.it/2aWi,3
2023-01-26,Elvis,2022,https://boxd.it/mK4w,2
2023-01-27,Escape from New York,1981,https://boxd.it/294k,3
2023-01-27,Hannibal,2001,https://boxd.it/1XVc,3
2023-01-28,Face/Off,1997,https://boxd.it/29I0,3
2023-01-30,Batman,1989,https://boxd.it/2aIU,2
2023-02-01,Carlito's Way,1993,https://boxd.it/226e,3
2023-02-01,No Country for Old Men,2007,https://boxd.it/21ew,5
2023-02-01,Carrie,1976,https://boxd.it/20ZQ,3
2023-02-03,Strange Days,1995,https://boxd.it/2aGO,3
2023-02-04,I'm Thinking of Ending Things,2020,https://boxd.it/i4IQ,2
2023-02-04,The Texas Chain Saw Massacre,1974,https://boxd.it/1lcS,2
2023-02-06,What's Eating Gilbert Grape,1993,https://boxd.it/28xg,2
2023-02-06,Eyes Wide Shut,1999,https://boxd.it/2axs,4
2023-02-06,Hugo,2011,https://boxd.it/R08,3
2023-02-09,Midnight Cowboy,1969,https://boxd.it/25Hi,4
2023-02-11,I ♥ Huckabees,2004,https://boxd.it/28vk,4
2023-02-11,Women on the Verge of a Nervous Breakdown,1988,https://boxd.it/24GI,3
2023-02-15,The Green Ray,1986,https://boxd.it/t8W,4
2023-02-15,The Number 23,2007,https://boxd.it/258C,1
2023-02-15,Scarface,1983,https://boxd.it/2b7g,2
2023-02-16,Stranger Than Paradise,1984,https://boxd.it/2ajU,2
2023-02-16,GoodFellas,1990,https://boxd.it/29FA,4
2023-02-19,Casablanca,1942,https://boxd.it/2aG0,5
2023-02-19,Ghost Dog: The Way of the Samurai,1999,https://boxd.it/23Ne,4
2023-02-20,A.I. Artificial Intelligence,2001,https://boxd.it/29Ve,3
2023-02-20,Miami Vice,2006,https://boxd.it/2bbW,4
2023-02-20,Peppermint,2018,https://boxd.it/gnOE,1
2023-02-21,Murder on the Orient Express,2017,https://boxd.it/dHjA,2
2023-02-27,Picnic at Hanging Rock,1975,https://boxd.it/1UQe,4
2023-02-27,Hunt for the Wilderpeople,2016,https://boxd.it/cTgG,3
2023-02-27,Dogtooth,2009,https://boxd.it/158K,1
2023-03-01,Sympathy for Mr. Vengeance,2002,https://boxd.it/23WU,3
2023-03-01,Moonrise Kingdom,2012,https://boxd.it/2Wng,2
2023-03-09,Paris Is Burning,1990,https://boxd.it/1jzg,4
